id,preco
13518783164498355150900635905895481162,102531.23
299896161723793383246777788797566040330,104984.31
316180649972302128246133616457018378621,261206.5
222527157104148385909188217274642813298,106681.54
160460343059850745858546502614838368036,112364.78
262727202368986244371977784343233436999,65473.27
254093764205800086330999281077926851120,158882.22
26118184613036116787803832945215674478,190777.33
216524630140335566712794225427064313,203330.69
185631381169816366226494379020452029389,257083.0
193325654448132563278364141820152041311,163080.86
238917637717691361625086479663492481749,50681.53
55430829679256880238551444522175018156,129349.055
215317645068876070368783807654911699750,265491.6
81597227204971961501733390453078413740,260875.61
144896666825908872755051834814298387194,92728.52
184599608599423525451999366981389806783,189986.72
332523842755767369964829329030378044388,114963.55
115343777354602647202140618045743635008,215021.61
20757170217235469489036110086071917277,122648.44
185526399598537813925895625787601650168,109001.164
60658042813489826886245400795986219027,104211.09
252469656136469704862465423825396909961,285572.16
144289133420257677937750963126363910239,51532.684
286704706212186527658783613441315754259,90185.14
104788498292328609834480593297039083847,79655.08
83091551517048057678460117003997132666,379729.66
253819240599250454081144283787356606601,73142.125
47552100267769170589122325402191982347,131354.62
143932540867090135955180920741784357244,156720.25
196345985565471044954698780677909306202,201611.38
244792708737468723430839923035345593106,57967.676
84589940414664494482357035061818012137,120826.734
272199586960887794853261858460695880945,146040.8
49959439507026713714422386346459644032,83050.055
281026519311657672970881937258693325762,56105.008
93074564150014753673961081882123830374,180391.16
26728401390792884431172378844166640182,294077.88
188211565885838356078706489204052877949,31762.62
72487946181948797581370306862646034491,102034.414
228864048115975611203958077134700148633,119158.9
112454259487642510247400972640243226784,43063.375
222663295482952330188872827964862490542,73069.75
174300102534868734265445704595501072047,159070.64
65616068149477861830943576277231644996,123402.81
12512429268260634755522419284910697215,88480.42
336344009530167442733355949279054127993,54131.91
79522286518792634854353998912967788405,98471.69
82689802293775881487902613650793199776,150206.22
145087209205382180995284342956932775590,108730.34
148379644220249469735831915363404593938,63635.574
81783415914068556337040372580510327746,85509.695
17392005129747944984443660408573750669,73085.65
221003909581330971303914733428302885356,243531.95
32270994133870633595828638411924379558,117531.266
44743423162474884539743903954385097896,146592.2
256739781367016694034266877805520625472,258702.4
102069821313289958956134954896763391138,196202.2
295239204594155572903470420706758961711,64512.03
217043924033496343963491521400562422856,86331.46
230630223901851276472648163541398202700,72162.77
228794583325189840821498523768389390979,111965.22
226883211751919793077312253417502568887,103729.945
178727794896076301413017290746899811351,62372.707
233324434070255280697734700180958891999,110894.55
120196782885257163651164953359063822616,55697.72
307587965035124177469706843302286678852,78534.086
147918433942232310306879997092064646229,54058.21
322862357217576382174561616320866894896,200061.31
239523402888574028389406143855331971634,283079.3
113509983214540261664688743850173663995,97186.586
109891169875096641331353504149265117244,193863.0
14047284765259674200352849951505593080,129028.11
185048785858081984334746723407963750558,91124.35
233408161489868303803711823496315975517,24312.102
271868823659695867806389462405507434039,119327.3
234266752075173490649523075655294035700,114402.516
135193714861901808768224625797727405125,58446.7
65383514239248595231552479759479421653,114622.32
763500554236946546082152173974002095,80125.9
263071556455718053803505933844459615897,101560.78
251187863725990533753089128740859478739,62351.418
254288424794027625207128200628830798586,222150.62
286319605986498380547161295324785273852,144153.22
18156444762146185587945140921021289232,137680.98
132399590521100913284690334248594447552,97781.18
103484450878268999171337512911053865440,224604.95
3912270241651523146374566983699340012,250434.3
289442719100949424990356122406061188257,62437.594
78107569099680024366542029001316825040,113862.36
35630579392702895703343792092821020757,66206.4
180495442974534219664033650975071179678,100396.06
310808003231123687601982759789167595573,129406.53
281412885789869246852489114984059535931,129406.53
115834922999693545296191213987693964898,116446.484
5731801982113473737231393645963779999,128217.086
256716164818036322373140286568690396129,144784.25
287091925155434474451326927701130603179,177256.64
34260218896401614964439670738816901101,94626.55
129711525134942617432200032446355408594,70415.8
63813447393601008165654825811986411111,92759.55
233957718806307342910872106898233148735,112981.61
138508589382193076883186189654019084427,120387.89
171762617476835661595108367117122969376,85384.96
7122736344425113322294078330615663312,124717.234
32931879047335602142815671990698948947,69587.03
230483121396274655509988841957998046697,119988.43
315766672381283490639653109260892751611,119463.25
301104161774368724925476221283740970391,66538.3
227510606246395701960366267332503216714,82164.85
228659121972304442863099815886729581779,111051.914
68086809059173658965599732460689150208,188423.39
169041392389609942283143480484429958744,71490.42
149581053128777628511664656027161538796,74669.29
66252420228989686258481184814476626799,266815.34
262859967351480229982146627310415934358,76971.69
317829998963593347122303395131613360494,86491.97
24887841704125448157191892411715521315,177386.38
230199425899098091542244974035896211783,107030.39
74011957647759301081569160773746930781,216353.52
144733803448319336946178686862337261379,150865.1
142405383752199423425786993458884627343,122910.56
173324636074769296529189625730653285809,102591.695
155561347177954121142041908188975524664,150282.58
86026435063413102427450773798842306387,101560.78
229257356284378921190587377871031567334,69922.664
249214025842220849314985638373204146912,108380.95
83473208885390680674963932777363338591,99126.59
180580369832354477560560602690825188300,195293.67
259490022068441742630539072459542535148,125016.3
120796267956232721185119513957760631683,354289.1
241430542672617103205615601633306372934,261211.55
53091847780640456849632756954612576434,95044.734
171977066567630375608946040261692762526,177381.97
